No, TITLE,NAME,FIRST NAME, SEX,CMP_Rtg,,,,,,
168,,JACUTINA,Floyd Devon,,1958,,,,,,
169,,JALLORINA,Paul Kira,,1654,,,,,,
170,ACM,JARAMILLO,Alvin,,1649,,,,,,
171,,JIMENEZ,Jethro F.,,2023,,,,,,
172,,JIMENEZ,Ricardo,,2075,,,,,,
173,,JOCSON,Ritchie,,1996,,,,,,
174,,JULGADO,Bernard,,1778,,,,,,
175,,LACOSTALES,John Michael,,1831,,,,,,
176,,LAIT,Vladimir Rhegz E.,,2139,,,,,,
177,,LALIMO,Christenzien Joshua,,2022,,,,,,
178,,LAPLANA,Michael L.,,1786,,,,,,
179,AIM,LAT,Jose Lorenzo,,1947,,,,,,
180,,LEGASPI,Gary,,2135,,,,,,
181,,LEGASPI,Jeric Marc Euterio R.,,1822,,,,,,
182,,LIBAY,Domingo,,2013,,,,,,
183,,LIGON,Francis,,1748,,,,,,
184,,LIM,Samson Chhiu Chhin Iii,,2096,,,,,,
185,,LIMPO,Clefzon,,1960,,,,,,
186,AIM,LIU,Josef Gabriel V.,,1902,,,,,,
187,NM,LIWAGON,Bob Jones,,1985,,,,,,
188,,LLERA,Fidel,,1919,,,,,,
189,,LOBITANA,Rafael M.,,2005,,,,,,
190,,LUCION,Rommel,,1929,,,,,,
191,,LUMANAO,Jacob,,1595,,,,,,
192,AIM,LUMIDAO,Mervin,,2002,,,,,,
193,,MAAMO,Harrison,,2096,,,,,,
194,,MAAMO,Kian,,1735,,,,,,
195,,MACASPAC,Adriel Nicolas,,1739,,,,,,
196,,MACASPAC,Arthur,,1922,,,,,,
197,,MADERA,John Adonairam O.,,1864,,,,,,
198,,MAEJAN,Hilson John,,1699,,,,,,
199,,MAGPUSAO,Almwayne D.,,1888,,,,,,
200,,MAGSALAY,Kyros Andrei,,1772,,,,,,
201,,MAHAWAN,Arnel Luna Jr.,,2016,,,,,,
202,AIM,MAHAWAN,John Paul Luna,,2055,,,,,,
203,,MALALUAN,Guilberto,,1695,,,,,,
204,,MANSANERO,Jefferson,,2065,,,,,,
205,,MANUMBILAO,Mohammad,,1776,,,,,,
206,,MANZANERO,Stephen Jr.,,2010,,,,,,
207,,MARCELLANA,Mark James,,2099,,,,,,
208,,MARCELLANO,Charls Leandro L.,,1906,,,,,,
209,,MARCOS,Jeffry,,1846,,,,,,
210,,MARIANO,Vincent,,2038,,,,,,
211,,MARIBAO,Alexis Emil,,2098,,,,,,
212,,MARTICIO,Jeremy B.,,2116,,,,,,
213,,MATSON,Louis Angelo,,1744,,,,,,
214,NM,MEDINA,Vince Angelo,,2089,,,,,,
215,,MEDRANO,Dioniver,,1823,,,,,,
216,,MELENDRES,Leonides Karlo Iii,,1837,,,,,,
217,,MENDEZ,Sophia Nathalie Y.,F,1600,,,,,,
218,,MENDOZA,Aeiona Lou Tomas,F,1798,,,,,,
219,,MENDOZA,Cheyzer Crystal Citadel,F,1828,,,,,,
220,,MIRANA,Leo,,2041,,,,,,
221,,MIRANDA,John Ardee,,1868,,,,,,
222,,MIRANO,Kevin,,2119,,,,,,
223,,MONTELLANO,Jerwin,,1743,,,,,,
224,NM,NAZARIO,Marc Christian,,2075,,,,,,
225,,NEMIS,Marc,,1880,,,,,,
226,,NICDAO,Willie Jade,,1949,,,,,,
